 X         ,Y         ,Z       ,ID  
  -0.12257895   0.09943775   0.29767054   0.80283542 
  -0.13464169   0.08237160   0.29766340   0.21014564 
  -0.14317479   0.06644128   0.29766363   0.16819388 
  -0.15232776   0.04134875   0.29766393   0.15117215 
  -0.14649011   0.05877171   0.29633687   0.82007348 
  -0.14414554   0.06430807   0.29633691   0.81909086 
  -0.14150909   0.06991883   0.29633695   0.81783243 
  -0.13855090   0.07561160   0.29633699   0.81621376 
  -0.13523380   0.08139586   0.29633704   0.81411750 
  -0.13151058   0.08728363   0.29633709   0.81137608 
  -0.12731980   0.09329059   0.29633715   0.80774216 
  -0.12257895   0.09943775   0.29633721   0.80283542 
  -0.13464169   0.08237160   0.29633007   0.21014564 
  -0.14317479   0.06644128   0.29633029   0.16819387 
  -0.15232776   0.04134875   0.29633060   0.15117215 
  -0.14649011   0.05877171   0.29500354   0.82007348 
  -0.14414554   0.06430807   0.29500358   0.81909086 
  -0.14150909   0.06991883   0.29500362   0.81783243 
  -0.13855090   0.07561160   0.29500366   0.81621376 
  -0.13523380   0.08139586   0.29500371   0.81411750 
  -0.13151058   0.08728363   0.29500376   0.81137608 
  -0.12731980   0.09329059   0.29500381   0.80774215 
  -0.12257895   0.09943775   0.29500387   0.80283542 
  -0.13464169   0.08237160   0.29499673   0.21014564 
  -0.14317479   0.06644128   0.29499696   0.16819387 
  -0.15232776   0.04134875   0.29499726   0.15117215 
  -0.14649011   0.05877171   0.29367021   0.82007348 
  -0.14414554   0.06430807   0.29367024   0.81909086 
  -0.14150909   0.06991883   0.29367028   0.81783243 
  -0.13855090   0.07561160   0.29367033   0.81621376 
  -0.13523380   0.08139586   0.29367037   0.81411750 
  -0.13151058   0.08728363   0.29367042   0.81137608 
  -0.12731980   0.09329059   0.29367048   0.80774215 
  -0.12257895   0.09943775   0.29367054   0.80283542 
  -0.13464169   0.08237160   0.29366340   0.21014563 
  -0.14317479   0.06644128   0.29366363   0.16819387 
  -0.15232776   0.04134875   0.29366393   0.15117215 
  -0.14649011   0.05877171   0.29233687   0.82007348 
  -0.14414554   0.06430807   0.29233691   0.81909086 
  -0.14150909   0.06991883   0.29233695   0.81783243 
  -0.13855090   0.07561161   0.29233699   0.81621376 
  -0.13523380   0.08139586   0.29233704   0.81411750 
  -0.13151058   0.08728363   0.29233709   0.81137608 
  -0.12731980   0.09329059   0.29233715   0.80774215 
  -0.12257895   0.09943775   0.29233721   0.80283542 
  -0.13464169   0.08237160   0.29233007   0.21014563 
  -0.14317479   0.06644128   0.29233029   0.16819387 
  -0.15232776   0.04134875   0.29233060   0.15117215 
  -0.14649011   0.05877171   0.29100354   0.82007348 
  -0.14414554   0.06430807   0.29100358   0.81909086 
  -0.14150909   0.06991883   0.29100362   0.81783243 
  -0.13855090   0.07561161   0.29100366   0.81621376 
  -0.13523380   0.08139586   0.29100371   0.81411750 
  -0.13151058   0.08728363   0.29100376   0.81137608 
  -0.12731980   0.09329059   0.29100381   0.80774215 
  -0.12257895   0.09943775   0.29100387   0.80283542 
  -0.13464169   0.08237160   0.29099673   0.21014563 
  -0.14317479   0.06644128   0.29099696   0.16819387 
  -0.15232776   0.04134875   0.29099726   0.15117215 
  -0.14649011   0.05877171   0.28967021   0.82007348 
  -0.14414554   0.06430807   0.28967024   0.81909086 
  -0.14150909   0.06991883   0.28967028   0.81783243 
  -0.13855090   0.07561161   0.28967033   0.81621376 
  -0.13523380   0.08139586   0.28967037   0.81411750 
  -0.13151058   0.08728363   0.28967042   0.81137608 
  -0.12731980   0.09329059   0.28967048   0.80774215 
  -0.12257895   0.09943775   0.28967054   0.80283542 
  -0.13464169   0.08237160   0.28966340   0.21014563 
  -0.14317479   0.06644128   0.28966363   0.16819387 
  -0.15232776   0.04134875   0.28966393   0.15117215 
  -0.14649011   0.05877171   0.28833687   0.82007348 
  -0.14414554   0.06430807   0.28833691   0.81909086 
  -0.14150909   0.06991883   0.28833695   0.81783243 
  -0.13855090   0.07561161   0.28833699   0.81621376 
  -0.13523380   0.08139586   0.28833704   0.81411750 
  -0.13151058   0.08728363   0.28833709   0.81137608 
  -0.12731980   0.09329059   0.28833715   0.80774215 
  -0.12257895   0.09943775   0.28833721   0.80283542 
  -0.13464169   0.08237160   0.28833007   0.21014563 
  -0.14317479   0.06644128   0.28833029   0.16819387 
  -0.15232776   0.04134875   0.28833060   0.15117215 
  -0.14649011   0.05877171   0.28700354   0.82007348 
  -0.14414554   0.06430807   0.28700358   0.81909086 
  -0.14150909   0.06991883   0.28700362   0.81783243 
  -0.13855090   0.07561161   0.28700366   0.81621376 
  -0.13523380   0.08139586   0.28700371   0.81411750 
  -0.13151058   0.08728363   0.28700376   0.81137608 
  -0.12731980   0.09329059   0.28700381   0.80774215 
  -0.12257895   0.09943775   0.28700387   0.80283542 
  -0.13464169   0.08237160   0.28699673   0.21014563 
  -0.14317479   0.06644128   0.28699696   0.16819387 
  -0.15232776   0.04134875   0.28699726   0.15117215 
  -0.14649011   0.05877172   0.28567021   0.82007348 
  -0.14414554   0.06430807   0.28567024   0.81909086 
  -0.14150909   0.06991883   0.28567028   0.81783243 
  -0.13855090   0.07561161   0.28567033   0.81621376 
  -0.13523380   0.08139586   0.28567037   0.81411750 
  -0.13151058   0.08728363   0.28567042   0.81137608 
  -0.12731980   0.09329059   0.28567048   0.80774215 
  -0.12257895   0.09943775   0.28567054   0.80283542 
  -0.13464169   0.08237160   0.28566340   0.21014562 
  -0.14317479   0.06644128   0.28566363   0.16819387 
  -0.15232776   0.04134875   0.28566393   0.15117215 
  -0.14649011   0.05877172   0.28433687   0.82007348 
  -0.14414554   0.06430807   0.28433691   0.81909086 
  -0.14150909   0.06991883   0.28433695   0.81783243 
  -0.13855090   0.07561161   0.28433699   0.81621376 
  -0.13523380   0.08139586   0.28433704   0.81411750 
  -0.13151058   0.08728363   0.28433709   0.81137608 
  -0.12731980   0.09329059   0.28433715   0.80774215 
  -0.12257895   0.09943775   0.28433721   0.80283542 
  -0.13464169   0.08237160   0.28433007   0.21014562 
  -0.14317479   0.06644128   0.28433029   0.16819387 
  -0.15232776   0.04134874   0.28433060   0.15117215 
  -0.14649011   0.05877172   0.28300354   0.82007348 
  -0.14414554   0.06430807   0.28300358   0.81909086 
  -0.14150909   0.06991883   0.28300362   0.81783243 
  -0.13855090   0.07561161   0.28300366   0.81621376 
  -0.13523380   0.08139586   0.28300371   0.81411750 
  -0.13151058   0.08728363   0.28300376   0.81137608 
  -0.12731980   0.09329059   0.28300381   0.80774215 
  -0.12257895   0.09943775   0.28300387   0.80283542 
  -0.13464169   0.08237160   0.28299673   0.21014562 
  -0.14317480   0.06644128   0.28299696   0.16819387 
  -0.15232776   0.04134874   0.28299726   0.15117215 
  -0.14649011   0.05877172   0.28167021   0.82007348 
  -0.14414554   0.06430807   0.28167024   0.81909086 
  -0.14150909   0.06991884   0.28167028   0.81783243 
  -0.13855090   0.07561161   0.28167033   0.81621376 
  -0.13523380   0.08139586   0.28167037   0.81411750 
  -0.13151058   0.08728363   0.28167042   0.81137608 
  -0.12731980   0.09329059   0.28167048   0.80774215 
  -0.12257895   0.09943775   0.28167054   0.80283542 
  -0.13464169   0.08237160   0.28166340   0.21014562 
  -0.14317480   0.06644128   0.28166363   0.16819387 
  -0.15232776   0.04134874   0.28166393   0.15117215 
  -0.14649011   0.05877172   0.28033687   0.82007348 
  -0.14414554   0.06430807   0.28033691   0.81909086 
  -0.14150909   0.06991884   0.28033695   0.81783243 
  -0.13855090   0.07561161   0.28033699   0.81621376 
  -0.13523380   0.08139586   0.28033704   0.81411750 
  -0.13151058   0.08728363   0.28033709   0.81137608 
  -0.12731980   0.09329059   0.28033715   0.80774215 
  -0.12257895   0.09943775   0.28033721   0.80283542 
  -0.13464169   0.08237160   0.28033007   0.21014562 
  -0.14317480   0.06644128   0.28033029   0.16819387 
  -0.15232776   0.04134874   0.28033060   0.15117215 
  -0.14649011   0.05877172   0.27900354   0.82007348 
  -0.14414554   0.06430807   0.27900358   0.81909086 
  -0.14150909   0.06991884   0.27900362   0.81783243 
  -0.13855090   0.07561161   0.27900366   0.81621376 
  -0.13523379   0.08139586   0.27900371   0.81411750 
  -0.13151058   0.08728363   0.27900376   0.81137608 
  -0.12731980   0.09329059   0.27900381   0.80774215 
  -0.12257895   0.09943775   0.27900387   0.80283542 
  -0.13464169   0.08237160   0.27899673   0.21014561 
  -0.14317480   0.06644128   0.27899696   0.16819387 
  -0.15232776   0.04134874   0.27899726   0.15117215 
